CONSIGNEE_NAME,SHIPPER_NAME,TARIFF_CODE,GROSS_WEIGHT_KG,ITEM_VALUE_USD,PORT_OF_LOADING,ARRIVAL_DATE
Nike Inc. ,Pou Chen Corp,3923.10,29768.64,995706.69,Long Beach,2025-03-20
Tesla Motors CORP,BYD Auto,8517.12,8054.45,1051872.98,Shenzhen,2025-07-10
Nike Inc. CORP,Pou Chen Corp,3923.10,10950.8,846817.7,Rotterdam,2025-08-17
Apple Inc. INC,Shenzhen Plastics Co,3923.10,40232.42,327691.52,Rotterdam,2026-01-21
NIKE USA INC,Pou Chen Corp,3923.10,28464.2,818172.48,Rotterdam,2025-10-15
APPLE OPERATIONS INTL LTD,Vietnam Manuf Group,6404.11,17877.6,830524.83,Rotterdam,2025-04-04
Tesla Motors CORP,TSMC,8542.31,47593.29,371621.76,Los Angeles,2025-04-19
Tesla Motors LTD,Vietnam Manuf Group,8542.31,34226.09,1772924.02,Rotterdam,2025-07-12
Tesla Motors INC,Vietnam Manuf Group,8703.80,40090.05,1216201.64,Long Beach,2026-01-07
Nike Inc. LTD,LG Chem,8517.12,37693.57,1001521.5,Shanghai,2025-05-26
Samsung Electronics LTD,Pou Chen Corp,8517.12,23144.37,1142100.8,Shanghai,2025-09-23
Nike Inc. ,BYD Auto,3923.10,30728.17,1047888.16,Ho Chi Minh,2025-08-20
Tesla Motors LTD,TSMC,8542.31,48824.21,1559886.97,Ho Chi Minh,2025-08-01
Tesla Motors LTD,Vietnam Manuf Group,8703.80,28616.93,477068.15,Ho Chi Minh,2025-08-09
YETI CUSTOM DOMESTIC ,LG Chem,8517.12,49196.12,1965044.31,Ho Chi Minh,2025-09-29
APPLE OPERATIONS INTL CORP,Vietnam Manuf Group,3923.10,6184.29,166128.5,Rotterdam,2025-06-06
Tesla Motors CORP,TSMC,8517.12,7407.17,253997.23,Rotterdam,2025-08-19
Tesla Motors INC,Foxconn Technology,8542.31,38078.34,1260462.95,Los Angeles,2026-01-12
Nike Inc. LTD,TSMC,3923.10,16926.34,1931911.89,Long Beach,2025-07-14
Nike Inc. ,Shenzhen Plastics Co,8542.31,39042.79,610986.43,Shanghai,2025-11-07
NIKE USA LTD,Vietnam Manuf Group,8517.12,32579.66,1566909.87,Los Angeles,2025-12-14
Samsung Electronics LTD,Pou Chen Corp,6404.11,20403.1,336849.41,Ho Chi Minh,2025-09-28
Tesla Motors ,BYD Auto,3923.10,31680.12,585703.16,Los Angeles,2026-01-06
NIKE USA ,Pou Chen Corp,8542.31,20827.09,1350648.43,Rotterdam,2025-08-24
Yeti Coolers LLC ,LG Chem,8542.31,17187.69,573739.72,Shanghai,2025-08-22
APPLE OPERATIONS INTL CORP,BYD Auto,6404.11,34345.43,31184.31,Shanghai,2025-08-05
Samsung Electronics INC,Shenzhen Plastics Co,8703.80,20954.74,564601.76,Long Beach,2025-11-06
YETI CUSTOM DOMESTIC LTD,Foxconn Technology,8703.80,20635.59,353963.32,Shanghai,2026-01-05
Tesla Motors LTD,Vietnam Manuf Group,8542.31,1856.5,1739494.01,Shanghai,2025-11-11
APPLE OPERATIONS INTL LTD,TSMC,8542.31,42850.39,1288603.04,Long Beach,2026-02-14
NIKE USA ,BYD Auto,8517.12,30034.7,489877.3,Los Angeles,2025-09-18
APPLE OPERATIONS INTL INC,LG Chem,6404.11,34935.68,126369.1,Shenzhen,2025-05-14
Apple Inc. LTD,Shenzhen Plastics Co,8703.80,49318.8,602704.02,Shenzhen,2025-10-23
APPLE OPERATIONS INTL CORP,BYD Auto,8517.12,47654.2,1835174.02,Long Beach,2025-07-12
APPLE OPERATIONS INTL INC,Vietnam Manuf Group,8703.80,48760.42,1641003.39,Shenzhen,2026-01-07
YETI CUSTOM DOMESTIC INC,Pou Chen Corp,8542.31,9222.67,1709459.09,Rotterdam,2025-10-21
YETI CUSTOM DOMESTIC CORP,LG Chem,6404.11,45734.37,1055499.01,Los Angeles,2026-01-31
Apple Inc. ,Shenzhen Plastics Co,8517.12,10751.1,335236.44,Los Angeles,2025-09-04
Samsung Electronics LTD,TSMC,3923.10,30756.24,530570.76,Shenzhen,2025-04-04
NIKE USA CORP,TSMC,8517.12,32865.02,645882.76,Long Beach,2025-04-23
Apple Inc. CORP,LG Chem,8703.80,21001.69,390351.37,Shanghai,2025-10-08
Tesla Motors ,Vietnam Manuf Group,8703.80,49657.37,809965.04,Ho Chi Minh,2025-03-18
APPLE OPERATIONS INTL LTD,BYD Auto,8542.31,7536.87,1510782.23,Shanghai,2025-10-02
Yeti Coolers LLC ,Pou Chen Corp,8542.31,23597.01,1522543.83,Ho Chi Minh,2025-10-02
Yeti Coolers LLC CORP,BYD Auto,8542.31,14239.22,1640008.89,Los Angeles,2025-08-30
Apple Inc. INC,Shenzhen Plastics Co,8542.31,10696.62,619241.92,Shanghai,2025-09-16
APPLE OPERATIONS INTL ,Foxconn Technology,8517.12,47889.88,227019.74,Shenzhen,2026-01-29
Tesla Motors INC,Vietnam Manuf Group,8542.31,45827.02,181822.25,Rotterdam,2026-02-25
Samsung Electronics CORP,TSMC,6404.11,10828.51,1492834.96,Shanghai,2025-08-26
NIKE USA ,Foxconn Technology,8517.12,45547.72,1734353.78,Ho Chi Minh,2025-10-21
APPLE OPERATIONS INTL ,TSMC,8542.31,3085.94,1553817.22,Los Angeles,2025-11-11
APPLE OPERATIONS INTL INC,Vietnam Manuf Group,8703.80,29672.72,1027514.96,Long Beach,2025-08-07
Tesla Motors ,TSMC,8517.12,35627.31,187218.66,Los Angeles,2025-09-26
Apple Inc. ,Foxconn Technology,8517.12,46945.51,1431848.3,Shenzhen,2026-02-02
Tesla Motors INC,LG Chem,8542.31,12640.56,351251.51,Shanghai,2025-09-20
Apple Inc. ,Shenzhen Plastics Co,8517.12,6497.66,1218139.79,Ho Chi Minh,2025-04-09
APPLE OPERATIONS INTL INC,Vietnam Manuf Group,8517.12,47619.7,74399.37,Ho Chi Minh,2025-08-25
